//Código;Tipo;possuiCarregador;ativo;
A;1;0;1;95059320;124;1;Garagem
B;1;0;1;95059320;124;1;Garagem
C;1;0;1;95059320;124;1;Garagem
D;1;0;1;95059320;124;1;Garagem
E;1;0;1;95059320;124;1;Garagem
F;0;1;1;95059320;124;1;Garagem
G;0;1;1;95059320;124;1;Garagem
H;0;0;1;95059320;124;1;Garagem
I;0;0;1;95059320;124;1;Garagem
J;0;0;1;95059320;124;1;Garagem
K;0;1;1;95059320;124;1;Garagem
L;0;0;1;95059320;124;1;Garagem
M;0;0;1;95059320;124;1;Garagem
N;0;0;1;95059320;124;1;Garagem
O;0;0;1;95059320;124;1;Garagem
P;0;0;1;95059320;124;1;Garagem
Q;0;0;1;95059320;124;1;Garagem
R;0;0;1;95059320;124;1;Garagem
S;0;1;1;95059320;124;1;Garagem
T;0;0;1;95059320;124;1;Garagem
